District,Soil_Type,Previous_Crop,Current_Crop,Stage,N,P,K,pH,Moisture,Target_Action,Situation
Mirpur Khas,Clay Loam,Rice,None,Empty Field,218.7,77.0,226.4,6.73,79.3,Sugarcane,Pre-Sowing
Tharparkar,Sandy,Jowar,None,Empty Field,8.7,23.3,22.9,8.64,8.5,Desert grasses,Pre-Sowing
Tharparkar,Sandy,None,Moth bean,Flowering,9.7,15.7,20.6,8.96,7.6,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (High Deficiency),Growth
Tharparkar,Desert Sand,Dates,None,Empty Field,64.1,23.2,50.5,8.46,17.6,Bajra,Pre-Sowing
Mirpur Khas,Clay Loam,None,Sugarcane,Flowering,212.3,77.4,222.2,7.09,74.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Silt Loam,Wheat,None,Empty Field,88.2,39.8,140.9,6.53,48.1,Guava,Pre-Sowing
Mirpur Khas,Silt Loam,None,Chilli,Vegetative,123.7,63.3,166.6,6.09,54.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Loamy,None,Tomato,Maturity,89.1,43.2,142.7,6.33,43.3,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,None,Wheat,Seedling,110.7,39.3,128.8,7.33,45.6,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,None,Jowar,Seedling,57.3,19.9,50.0,8.36,20.4,Add Nitrogen - Urea (High Deficiency) + Add Phosphorus - DAP (High Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Umerkot,Loamy,Bajra,None,Empty Field,116.1,51.4,199.8,7.55,53.9,Cotton,Pre-Sowing
Tharparkar,Sandy Loam,None,Guar,Maturity,13.6,39.4,38.5,8.21,15.5,Nutrients Optimal - No Action Needed,Growth
Mirpur Khas,Clay Loam,None,Mango,Maturity,125.2,54.8,192.4,6.74,40.8,Nutrients Optimal - No Action Needed,Growth
Umerkot,Light Sandy,Chilli,None,Empty Field,40.3,28.3,67.0,7.81,17.1,Guar,Pre-Sowing
Umerkot,Clay,Moth bean,None,Empty Field,26.9,42.9,39.1,7.1,21.8,Moth bean,Pre-Sowing
Umerkot,Sandy Loam,None,Moth bean,Vegetative,16.8,27.0,30.0,7.84,14.0,Add Nitrogen - Urea (Mild Deficiency) + Add Phosphorus - DAP (Mild Deficiency) + Add Potassium - SOP/MOP (Mild Deficiency),Growth
Tharparkar,Desert Sand,Moth bean,None,Empty Field,71.8,27.2,109.3,7.99,37.3,Bajra,Pre-Sowing
Umerkot,Clay,Jowar,None,Empty Field,26.3,45.2,63.5,8.46,24.9,Guar,Pre-Sowing
Tharparkar,Sandy,Bajra,None,Empty Field,108.4,68.0,121.8,8.5,12.2,Dates,Pre-Sowing
Umerkot,Sandy Loam,Cotton,None,Empty Field,15.2,26.9,35.3,8.0,14.8,Moth bean,Pre-Sowing
